model_size,block_size,batch_size,mode,precision,mean_time_ms,std_dev_ms,speedup
small,128,4,forward,FP32,18.08,0.24,1.00
small,128,4,forward,BF16,10.59,0.30,1.71
small,256,4,forward,FP32,32.42,2.60,1.00
small,256,4,forward,BF16,17.49,1.21,1.85
small,512,4,forward,FP32,80.22,0.22,1.00
small,512,4,forward,BF16,46.50,0.25,1.73
small,1024,4,forward,FP32,227.19,2.45,1.00
small,1024,4,forward,BF16,144.27,0.51,1.57
medium,128,4,forward,FP32,46.89,0.38,1.00
medium,128,4,forward,BF16,32.36,5.47,1.45
medium,256,4,forward,FP32,97.03,0.33,1.00
medium,256,4,forward,BF16,49.09,0.47,1.98
medium,512,4,forward,FP32,243.57,1.15,1.00
medium,512,4,forward,BF16,137.74,0.55,1.77
medium,1024,4,forward,FP32,15073.67,60.02,1.00
medium,1024,4,forward,BF16,ERROR,ERROR,N/A
large,128,4,forward,FP32,101.00,0.81,1.00
large,128,4,forward,BF16,63.97,5.03,1.58
large,256,4,forward,FP32,218.35,1.67,1.00
large,256,4,forward,BF16,113.09,3.45,1.93
large,512,4,forward,FP32,13841.99,486.46,1.00
large,512,4,forward,BF16,14835.62,2816.32,0.93
large,1024,4,forward,FP32,ERROR,ERROR,N/A
large,1024,4,forward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
xl,128,1,forward,FP32,64.02,5.25,1.00
xl,128,1,forward,BF16,1676.84,57.87,0.04
xl,256,1,forward,FP32,475.14,21.27,1.00
xl,256,1,forward,BF16,2683.93,18.68,0.18
xl,512,1,forward,FP32,11178.44,632.16,1.00
xl,512,1,forward,BF16,11576.48,6526.21,0.97
xl,1024,1,forward,FP32,ERROR,ERROR,N/A
xl,1024,1,forward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
2.7B,128,1,forward,FP32,ERROR,ERROR,N/A
2.7B,128,1,forward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
2.7B,256,1,forward,FP32,ERROR,ERROR,N/A
2.7B,256,1,forward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
2.7B,512,1,forward,FP32,ERROR,ERROR,N/A
2.7B,512,1,forward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
2.7B,1024,1,forward,FP32,ERROR,ERROR,N/A
2.7B,1024,1,forward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
small,128,4,forward_backward,FP32,44.94,2.92,1.00
small,128,4,forward_backward,BF16,46.36,6.52,0.97
small,256,4,forward_backward,FP32,89.77,3.77,1.00
small,256,4,forward_backward,BF16,56.29,0.49,1.59
small,512,4,forward_backward,FP32,227.63,1.91,1.00
small,512,4,forward_backward,BF16,139.32,5.34,1.63
small,1024,4,forward_backward,FP32,639.22,21.01,1.00
small,1024,4,forward_backward,BF16,417.81,19.01,1.53
medium,128,4,forward_backward,FP32,142.93,6.86,1.00
medium,128,4,forward_backward,BF16,111.53,5.27,1.28
medium,256,4,forward_backward,FP32,293.79,18.19,1.00
medium,256,4,forward_backward,BF16,172.79,6.44,1.70
medium,512,4,forward_backward,FP32,718.56,22.48,1.00
medium,512,4,forward_backward,BF16,425.64,16.06,1.69
medium,1024,4,forward_backward,FP32,ERROR,ERROR,N/A
medium,1024,4,forward_backward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
large,128,4,forward_backward,FP32,353.82,110.07,1.00
large,128,4,forward_backward,BF16,228.29,1.79,1.55
large,256,4,forward_backward,FP32,1956.03,165.34,1.00
large,256,4,forward_backward,BF16,4028.90,983.15,0.49
large,512,4,forward_backward,FP32,111230.33,8611.99,1.00
large,512,4,forward_backward,BF16,50570.87,2319.02,2.20
large,1024,4,forward_backward,FP32,ERROR,ERROR,N/A
large,1024,4,forward_backward,BF16,UNSUPPORTED,UNSUPPORTED,N/A
xl,128,1,forward_backward,FP32,3651.52,488.79,1.00
xl,128,1,forward_backward,BF16,31058.43,6792.67,0.12
xl,256,1,forward_backward,FP32,27481.29,6062.22,1.00
xl,256,1,forward_backward,BF16,43241.52,5452.06,0.64
